"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","312.6419E+00",""
"2","1.000","312.5875E+00",""
"3","1.000","312.5767E+00",""
"4","1.000","312.6008E+00",""
"5","1.000","312.4126E+00",""
"6","1.000","312.4302E+00",""
"7","1.000","312.3117E+00",""
"8","1.000","312.3043E+00",""
"9","1.000","312.1804E+00",""
"10","1.000","312.1335E+00",""
"11","1.000","312.1047E+00",""
"12","1.000","312.0733E+00",""
"13","1.000","312.0706E+00",""
"14","1.000","312.0427E+00",""
"15","1.000","312.0218E+00",""
"16","1.000","312.0391E+00",""
"17","1.000","312.0336E+00",""
"18","1.000","312.0098E+00",""
"19","1.000","311.9998E+00",""
"20","1.000","312.0065E+00",""
"21","1.000","312.0039E+00",""
"22","1.000","311.9636E+00",""
"23","1.000","311.9832E+00",""
"24","1.000","311.9578E+00",""
"25","1.000","311.9489E+00",""
"26","1.000","311.9354E+00",""
"27","1.000","311.9137E+00",""
"28","1.000","311.9425E+00",""
"29","1.000","311.9351E+00",""
"30","1.000","311.9335E+00",""
"31","1.000","311.9413E+00",""
"32","1.000","311.9145E+00",""
"33","1.000","311.8819E+00",""
"34","1.000","311.9377E+00",""
"35","1.000","311.8949E+00",""
"36","1.000","311.8473E+00",""
"37","1.000","311.8639E+00",""
"38","1.000","311.9095E+00",""
"39","1.000","311.8764E+00",""
"40","1.000","311.7976E+00",""
"41","1.000","311.8596E+00",""
"42","1.000","311.8175E+00",""
"43","1.000","311.7929E+00",""
"44","1.000","311.8989E+00",""
"45","1.000","311.7702E+00",""
"46","1.000","311.7891E+00",""
"47","1.000","311.8067E+00",""
"48","1.000","311.7798E+00",""
"49","1.000","311.7693E+00",""
"50","1.000","311.7989E+00",""
"51","1.000","311.7444E+00",""
"52","1.000","311.7545E+00",""
"53","1.000","311.7362E+00",""
"54","1.000","311.7580E+00",""
"55","1.000","311.6940E+00",""
"56","1.000","311.6524E+00",""
"57","1.000","311.6721E+00",""
"58","1.000","311.6682E+00",""
"59","1.000","311.6489E+00",""
"60","1.000","311.6666E+00",""
"61","1.000","311.6888E+00",""
"62","1.000","311.6764E+00",""
"63","1.000","311.6534E+00",""
"64","1.000","311.6697E+00",""
"65","1.000","311.6475E+00",""
"66","1.000","311.6242E+00",""
"67","1.000","311.6201E+00",""
"68","1.000","311.6632E+00",""
"69","1.000","311.6874E+00",""
"70","1.000","311.6018E+00",""
"71","1.000","311.6520E+00",""
"72","1.000","311.7006E+00",""
"73","1.000","312.1278E+00",""
"74","1.000","311.9787E+00",""
"75","1.000","312.0302E+00",""
"76","1.000","312.0924E+00",""
"77","1.000","311.9523E+00",""
"78","1.000","311.8823E+00",""
"79","1.000","311.9007E+00",""
"80","1.000","311.8409E+00",""
"81","1.000","311.9172E+00",""
"82","1.000","311.8580E+00",""
"83","1.000","311.8023E+00",""
"84","1.000","311.8091E+00",""
"85","1.000","311.7678E+00",""
"86","1.000","311.7921E+00",""
"87","1.000","311.8268E+00",""
"88","1.000","311.7676E+00",""
"89","1.000","311.7329E+00",""
"90","1.000","311.7448E+00",""
"91","1.000","311.7220E+00",""
"92","1.000","311.7383E+00",""
"93","1.000","311.6989E+00",""
"94","1.000","311.7767E+00",""
"95","1.000","311.7257E+00",""
