"No.","CV[V]","Z[ohm]","OFF"
"187","1.000","317.4690E+00",""
"188","1.000","317.5116E+00",""
"189","1.000","317.4498E+00",""
"190","1.000","317.5340E+00",""
"191","1.000","317.4690E+00",""
"192","1.000","317.4479E+00",""
"193","1.000","317.4333E+00",""
"194","1.000","317.6461E+00",""
"195","1.000","317.5335E+00",""
"196","1.000","317.5186E+00",""
"197","1.000","317.5360E+00",""
"198","1.000","317.5719E+00",""
"199","1.000","317.5571E+00",""
"200","1.000","317.6480E+00",""
"201","1.000","317.7461E+00",""
"202","1.000","317.6544E+00",""
"203","1.000","317.6915E+00",""
"204","1.000","317.6636E+00",""
"205","1.000","317.6666E+00",""
"206","1.000","317.6729E+00",""
"207","1.000","317.6931E+00",""
"208","1.000","317.7082E+00",""
"209","1.000","317.7044E+00",""
"210","1.000","317.7551E+00",""
"211","1.000","317.7532E+00",""
"212","1.000","317.7548E+00",""
"213","1.000","317.7344E+00",""
"214","1.000","317.7155E+00",""
"215","1.000","317.7060E+00",""
"216","1.000","317.7422E+00",""
"217","1.000","317.7289E+00",""
"218","1.000","317.7456E+00",""
"219","1.000","317.6249E+00",""
"220","1.000","317.6713E+00",""
"221","1.000","317.6573E+00",""
"222","1.000","317.6372E+00",""
"223","1.000","317.6094E+00",""
"224","1.000","317.6127E+00",""
"225","1.000","317.6632E+00",""
"226","1.000","317.7379E+00",""
"227","1.000","317.7610E+00",""
"228","1.000","317.7321E+00",""
"229","1.000","317.7419E+00",""
"230","1.000","317.7501E+00",""
"231","1.000","317.7443E+00",""
"232","1.000","317.6920E+00",""
"233","1.000","317.6868E+00",""
"234","1.000","317.7215E+00",""
"235","1.000","317.7061E+00",""
"236","1.000","317.8137E+00",""
"237","1.000","317.8926E+00",""
"238","1.000","317.8547E+00",""
"239","1.000","317.9097E+00",""
"240","1.000","317.8836E+00",""
"241","1.000","317.8251E+00",""

