"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","665.4771E+00",""
"2","1.000","665.4992E+00",""
"3","1.000","665.4855E+00",""
"4","1.000","665.4894E+00",""
"5","1.000","665.4755E+00",""
"6","1.000","665.5304E+00",""
"7","1.000","665.4730E+00",""
"8","1.000","665.4352E+00",""
"9","1.000","665.5150E+00",""
"10","1.000","665.6078E+00",""
"11","1.000","665.5979E+00",""
"12","1.000","665.6015E+00",""
"13","1.000","665.5783E+00",""
"14","1.000","665.5645E+00",""
"15","1.000","665.5156E+00",""
"16","1.000","665.5659E+00",""
"17","1.000","665.5803E+00",""
"18","1.000","665.5993E+00",""
"19","1.000","665.5936E+00",""
"20","1.000","665.6261E+00",""
"21","1.000","665.5753E+00",""
"22","1.000","665.5898E+00",""
"23","1.000","665.5401E+00",""
"24","1.000","665.5449E+00",""
"25","1.000","665.5895E+00",""
"26","1.000","665.5957E+00",""
"27","1.000","665.6073E+00",""
"28","1.000","665.6632E+00",""
"29","1.000","665.6358E+00",""
"30","1.000","665.6116E+00",""
"31","1.000","665.6244E+00",""
"32","1.000","665.5820E+00",""
"33","1.000","665.6561E+00",""
"34","1.000","665.5380E+00",""
"35","1.000","665.5856E+00",""
"36","1.000","665.5671E+00",""
"37","1.000","665.4997E+00",""
"38","1.000","665.5615E+00",""
"39","1.000","665.5286E+00",""
"40","1.000","665.5767E+00",""
"41","1.000","665.6552E+00",""
"42","1.000","665.5793E+00",""
"43","1.000","665.6390E+00",""
"44","1.000","665.6317E+00",""
"45","1.000","665.6340E+00",""
"46","1.000","665.6553E+00",""
"47","1.000","665.5970E+00",""
"48","1.000","665.6385E+00",""
"49","1.000","665.6144E+00",""
"50","1.000","665.6507E+00",""
"51","1.000","665.6413E+00",""
"52","1.000","665.6770E+00",""
"53","1.000","665.6431E+00",""
"54","1.000","665.7084E+00",""
"55","1.000","665.6464E+00",""
"56","1.000","665.6084E+00",""
"57","1.000","665.6787E+00",""
"58","1.000","665.6733E+00",""
"59","1.000","665.6221E+00",""
"60","1.000","665.6742E+00",""
"61","1.000","665.6457E+00",""
"62","1.000","665.6615E+00",""
"63","1.000","665.6377E+00",""
"64","1.000","665.6249E+00",""
"65","1.000","665.5918E+00",""
"66","1.000","665.6499E+00",""
"67","1.000","665.6359E+00",""
"68","1.000","665.6284E+00",""
"69","1.000","665.6365E+00",""
"70","1.000","665.6409E+00",""
"71","1.000","665.6252E+00",""
"72","1.000","665.6182E+00",""
"73","1.000","665.6394E+00",""
"74","1.000","665.6936E+00",""
"75","1.000","665.5823E+00",""
"76","1.000","665.6583E+00",""
"77","1.000","665.6267E+00",""
"78","1.000","665.6606E+00",""
"79","1.000","665.6627E+00",""
"80","1.000","665.6490E+00",""
"81","1.000","665.6136E+00",""
"82","1.000","665.6332E+00",""
"83","1.000","665.6403E+00",""
"84","1.000","665.6618E+00",""
"85","1.000","665.5973E+00",""
"86","1.000","665.5920E+00",""
"87","1.000","665.6077E+00",""
"88","1.000","665.5939E+00",""
"89","1.000","665.5526E+00",""
"90","1.000","665.6056E+00",""
"91","1.000","665.6066E+00",""
"92","1.000","665.5369E+00",""
"93","1.000","665.6981E+00",""
"94","1.000","665.6101E+00",""
"95","1.000","665.6567E+00",""
"96","1.000","665.5756E+00",""
"97","1.000","665.6264E+00",""
"98","1.000","665.6363E+00",""
"99","1.000","665.6717E+00",""
"100","1.000","665.6875E+00",""
"101","1.000","665.6363E+00",""
"102","1.000","665.6518E+00",""
"103","1.000","665.6609E+00",""
"104","1.000","665.6203E+00",""
"105","1.000","665.6486E+00",""
"106","1.000","665.6373E+00",""
"107","1.000","665.7266E+00",""
"108","1.000","665.5812E+00",""
"109","1.000","665.6618E+00",""
"110","1.000","665.6314E+00",""
"111","1.000","665.6509E+00",""
"112","1.000","665.6218E+00",""
