"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","348.0278E+00",""
"2","1.000","348.1549E+00",""
"3","1.000","348.2770E+00",""
"4","1.000","348.2422E+00",""
"5","1.000","348.2562E+00",""
"6","1.000","348.3053E+00",""
"7","1.000","348.2977E+00",""
"8","1.000","348.3125E+00",""
"9","1.000","348.3363E+00",""
"10","1.000","348.3270E+00",""
"11","1.000","348.3158E+00",""
"12","1.000","348.2820E+00",""
"13","1.000","348.3620E+00",""
"14","1.000","348.3355E+00",""
"15","1.000","348.2769E+00",""
"16","1.000","348.3320E+00",""
"17","1.000","348.3053E+00",""
"18","1.000","348.3258E+00",""
"19","1.000","348.3555E+00",""
"20","1.000","348.4139E+00",""
"21","1.000","348.3997E+00",""
"22","1.000","348.4280E+00",""
"23","1.000","348.3419E+00",""
"24","1.000","348.4779E+00",""
"25","1.000","348.4548E+00",""
"26","1.000","348.3840E+00",""
"27","1.000","348.4384E+00",""
"28","1.000","348.4217E+00",""
"29","1.000","348.4496E+00",""
"30","1.000","348.4811E+00",""
"31","1.000","348.4566E+00",""
"32","1.000","348.3320E+00",""
"33","1.000","348.3858E+00",""
"34","1.000","348.3426E+00",""
"35","1.000","348.3630E+00",""
"36","1.000","348.3793E+00",""
"37","1.000","348.3821E+00",""
"38","1.000","348.3561E+00",""
"39","1.000","348.3680E+00",""
"40","1.000","348.3353E+00",""
"41","1.000","348.3928E+00",""
"42","1.000","348.4284E+00",""
"43","1.000","348.3959E+00",""
"44","1.000","348.4753E+00",""
"45","1.000","348.4190E+00",""
"46","1.000","348.3569E+00",""
"47","1.000","348.3865E+00",""
"48","1.000","348.3791E+00",""
"49","1.000","348.4044E+00",""
"50","1.000","348.4411E+00",""
"51","1.000","348.3749E+00",""
"52","1.000","348.4104E+00",""
"53","1.000","348.3584E+00",""
"54","1.000","348.3704E+00",""
"55","1.000","348.3917E+00",""
"56","1.000","348.4344E+00",""
"57","1.000","348.3468E+00",""
"58","1.000","348.3641E+00",""
"59","1.000","348.3961E+00",""
"60","1.000","348.4031E+00",""
"61","1.000","348.3792E+00",""
"62","1.000","348.3566E+00",""
"63","1.000","348.3716E+00",""
"64","1.000","348.3053E+00",""
"65","1.000","348.2813E+00",""
"66","1.000","348.3910E+00",""
"67","1.000","348.3614E+00",""
"68","1.000","348.3464E+00",""
"69","1.000","348.3250E+00",""
"70","1.000","348.4115E+00",""
"71","1.000","348.3214E+00",""
"72","1.000","348.3539E+00",""
"73","1.000","348.2959E+00",""
"74","1.000","348.3725E+00",""
"75","1.000","348.2829E+00",""
