"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","319.3056E+00",""
"2","1.000","319.3766E+00",""
"3","1.000","319.4129E+00",""
"4","1.000","319.3522E+00",""
"5","1.000","319.4292E+00",""
"6","1.000","319.3249E+00",""
"7","1.000","319.3476E+00",""
"8","1.000","319.2867E+00",""
"9","1.000","319.3515E+00",""
"10","1.000","319.4170E+00",""
"11","1.000","319.4534E+00",""
"12","1.000","319.3916E+00",""
"13","1.000","319.3693E+00",""
"14","1.000","319.3221E+00",""
"15","1.000","319.4624E+00",""
"16","1.000","319.5005E+00",""
"17","1.000","319.4131E+00",""
"18","1.000","319.4319E+00",""
"19","1.000","319.4320E+00",""
"20","1.000","319.4148E+00",""
"21","1.000","319.4711E+00",""
"22","1.000","319.5928E+00",""
"23","1.000","319.5400E+00",""
"24","1.000","319.5101E+00",""
"25","1.000","319.5346E+00",""
"26","1.000","319.5281E+00",""
"27","1.000","319.5852E+00",""
"28","1.000","319.6293E+00",""
"29","1.000","319.6066E+00",""
"30","1.000","319.6462E+00",""
"31","1.000","319.5994E+00",""
"32","1.000","319.5444E+00",""
"33","1.000","319.5112E+00",""
"34","1.000","319.6425E+00",""
"35","1.000","319.6353E+00",""
"36","1.000","319.5877E+00",""
"37","1.000","319.5006E+00",""
"38","1.000","319.6311E+00",""
"39","1.000","319.5689E+00",""
"40","1.000","319.5698E+00",""
"41","1.000","319.6430E+00",""
"42","1.000","319.6248E+00",""
"43","1.000","319.6294E+00",""
"44","1.000","319.7211E+00",""
"45","1.000","319.5793E+00",""
"46","1.000","319.6257E+00",""
"47","1.000","319.7200E+00",""
"48","1.000","319.7714E+00",""
"49","1.000","319.7407E+00",""
"50","1.000","319.7656E+00",""
"51","1.000","319.7399E+00",""
"52","1.000","319.7165E+00",""
"53","1.000","319.8109E+00",""
"54","1.000","319.8108E+00",""
"55","1.000","319.8434E+00",""
"56","1.000","319.8119E+00",""
"57","1.000","319.8592E+00",""
"58","1.000","319.8749E+00",""
"59","1.000","319.8802E+00",""
"60","1.000","319.9077E+00",""
"61","1.000","319.9762E+00",""
"62","1.000","319.9009E+00",""
"63","1.000","319.8822E+00",""
"64","1.000","319.8507E+00",""
"65","1.000","319.8731E+00",""
"66","1.000","319.8103E+00",""
"67","1.000","319.8715E+00",""
"68","1.000","319.8046E+00",""
"69","1.000","319.7617E+00",""
"70","1.000","319.7371E+00",""
"71","1.000","319.7289E+00",""
"72","1.000","319.8154E+00",""
"73","1.000","319.8539E+00",""
"74","1.000","319.8224E+00",""
"75","1.000","319.7862E+00",""
"76","1.000","319.7863E+00",""
"77","1.000","319.8095E+00",""
"78","1.000","319.8792E+00",""
"79","1.000","319.8821E+00",""
"80","1.000","319.8713E+00",""
"81","1.000","319.7978E+00",""
"82","1.000","319.8492E+00",""
"83","1.000","319.8328E+00",""
"84","1.000","319.8632E+00",""
"85","1.000","319.9221E+00",""
"86","1.000","320.0561E+00",""
"87","1.000","319.9442E+00",""
"88","1.000","319.8941E+00",""
"89","1.000","319.9213E+00",""
"90","1.000","319.9545E+00",""
"91","1.000","320.0279E+00",""
"92","1.000","320.0911E+00",""
"93","1.000","320.0423E+00",""
"94","1.000","319.9956E+00",""
"95","1.000","320.0486E+00",""
"96","1.000","320.1008E+00",""
"97","1.000","320.0889E+00",""
"98","1.000","320.1527E+00",""
"99","1.000","320.1367E+00",""
"100","1.000","320.1101E+00",""
"101","1.000","320.1919E+00",""
"102","1.000","320.1491E+00",""
"103","1.000","320.1658E+00",""
"104","1.000","320.1846E+00",""
"105","1.000","320.0474E+00",""
"106","1.000","320.1253E+00",""
"107","1.000","320.1844E+00",""
"108","1.000","320.2270E+00",""
"109","1.000","320.2501E+00",""
"110","1.000","320.1728E+00",""
"111","1.000","320.2048E+00",""
"112","1.000","320.2155E+00",""
"113","1.000","320.2085E+00",""
"114","1.000","320.3197E+00",""
"115","1.000","320.4180E+00",""
"116","1.000","320.3661E+00",""
"117","1.000","320.3224E+00",""
"118","1.000","320.3254E+00",""
"119","1.000","320.2973E+00",""
"120","1.000","320.3976E+00",""
"121","1.000","320.4523E+00",""
"122","1.000","320.3916E+00",""
"123","1.000","320.2734E+00",""
"124","1.000","320.2774E+00",""
"125","1.000","320.3560E+00",""
"126","1.000","320.4555E+00",""
"127","1.000","320.5184E+00",""
"128","1.000","320.4136E+00",""
"129","1.000","320.2898E+00",""
"130","1.000","320.3420E+00",""
"131","1.000","320.3129E+00",""
"132","1.000","320.4019E+00",""
"133","1.000","320.4219E+00",""
"134","1.000","320.3347E+00",""
"135","1.000","320.3328E+00",""
"136","1.000","320.3318E+00",""
"137","1.000","320.2728E+00",""
"138","1.000","320.3504E+00",""
"139","1.000","320.3580E+00",""
"140","1.000","320.2868E+00",""
"141","1.000","320.2648E+00",""
"142","1.000","320.2752E+00",""
"143","1.000","320.3681E+00",""
"144","1.000","320.3537E+00",""
"145","1.000","320.4185E+00",""
"146","1.000","320.2918E+00",""
"147","1.000","320.2376E+00",""
"148","1.000","320.3646E+00",""
"149","1.000","320.3937E+00",""
"150","1.000","320.3783E+00",""
"151","1.000","320.4072E+00",""
"152","1.000","320.3632E+00",""
"153","1.000","320.4215E+00",""
"154","1.000","320.2669E+00",""
"155","1.000","320.3346E+00",""
"156","1.000","320.3532E+00",""
"157","1.000","320.3252E+00",""
"158","1.000","320.3148E+00",""
"159","1.000","320.3262E+00",""
"160","1.000","320.2871E+00",""
"161","1.000","320.2247E+00",""
"162","1.000","320.2685E+00",""
"163","1.000","320.2306E+00",""
"164","1.000","320.3144E+00",""
"165","1.000","320.3918E+00",""
"166","1.000","320.3087E+00",""
"167","1.000","320.3778E+00",""
"168","1.000","320.3431E+00",""
"169","1.000","320.2758E+00",""
"170","1.000","320.2913E+00",""
"171","1.000","320.2779E+00",""
"172","1.000","320.3306E+00",""
"173","1.000","320.4211E+00",""
"174","1.000","320.3301E+00",""
"175","1.000","320.4031E+00",""
"176","1.000","320.3347E+00",""
"177","1.000","320.2957E+00",""
"178","1.000","320.3176E+00",""
"179","1.000","320.3332E+00",""
"180","1.000","320.3375E+00",""
"181","1.000","320.3330E+00",""
"182","1.000","320.3192E+00",""
"183","1.000","320.2930E+00",""
"184","1.000","320.3339E+00",""
"185","1.000","320.4578E+00",""
