"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","373.3278E+00",""
"2","1.000","373.2646E+00",""
"3","1.000","373.2465E+00",""
"4","1.000","373.2205E+00",""
"5","1.000","373.1780E+00",""
"6","1.000","373.1698E+00",""
"7","1.000","373.0434E+00",""
"8","1.000","373.0543E+00",""
"9","1.000","373.0556E+00",""
"10","1.000","371.6545E+00",""
"11","1.000","371.2468E+00",""
"12","1.000","371.2738E+00",""
"13","1.000","371.4216E+00",""
"14","1.000","371.3093E+00",""
"15","1.000","371.4006E+00",""
"16","1.000","371.2830E+00",""
"17","1.000","371.2065E+00",""
"18","1.000","371.1340E+00",""
"19","1.000","371.1513E+00",""
"20","1.000","371.1791E+00",""
"21","1.000","371.1588E+00",""
"22","1.000","371.0655E+00",""
"23","1.000","371.0317E+00",""
"24","1.000","370.9515E+00",""
"25","1.000","370.9545E+00",""
"26","1.000","370.9320E+00",""
"27","1.000","370.9177E+00",""
"28","1.000","370.8630E+00",""
"29","1.000","370.8823E+00",""
"30","1.000","370.8863E+00",""
"31","1.000","370.9264E+00",""
"32","1.000","370.8874E+00",""
"33","1.000","370.8069E+00",""
"34","1.000","370.7426E+00",""
"35","1.000","370.7856E+00",""
"36","1.000","370.8344E+00",""
"37","1.000","370.8288E+00",""
"38","1.000","370.8513E+00",""
"39","1.000","370.8147E+00",""
"40","1.000","370.7396E+00",""
"41","1.000","370.7043E+00",""
"42","1.000","370.6470E+00",""
"43","1.000","370.6391E+00",""
"44","1.000","370.6718E+00",""
"45","1.000","370.6416E+00",""
"46","1.000","370.6134E+00",""
"47","1.000","370.6168E+00",""
"48","1.000","370.5362E+00",""
"49","1.000","370.5239E+00",""
"50","1.000","370.4183E+00",""
"51","1.000","370.3752E+00",""
"52","1.000","370.3632E+00",""
"53","1.000","370.3629E+00",""
"54","1.000","370.3421E+00",""
"55","1.000","370.3675E+00",""
"56","1.000","370.3577E+00",""
"57","1.000","370.3607E+00",""
"58","1.000","370.3036E+00",""
"59","1.000","370.2122E+00",""
"60","1.000","370.2058E+00",""
"61","1.000","370.2435E+00",""
"62","1.000","370.2477E+00",""
"63","1.000","370.2093E+00",""
"64","1.000","370.2326E+00",""
"65","1.000","370.2112E+00",""
"66","1.000","370.1867E+00",""
"67","1.000","370.2117E+00",""
"68","1.000","370.2378E+00",""
"69","1.000","370.2245E+00",""
"70","1.000","370.2001E+00",""
"71","1.000","370.1495E+00",""
"72","1.000","370.1776E+00",""
"73","1.000","370.1535E+00",""
"74","1.000","370.1932E+00",""
"75","1.000","370.1804E+00",""
"76","1.000","370.1717E+00",""
"77","1.000","370.1773E+00",""
"78","1.000","370.1249E+00",""
"79","1.000","370.1642E+00",""
"80","1.000","370.1956E+00",""
"81","1.000","370.1701E+00",""
"82","1.000","370.1796E+00",""
"83","1.000","370.1506E+00",""
"84","1.000","370.1604E+00",""
"85","1.000","370.1714E+00",""
"86","1.000","370.1504E+00",""
"87","1.000","370.1276E+00",""
"88","1.000","370.1311E+00",""
"89","1.000","370.1515E+00",""
"90","1.000","370.1437E+00",""
"91","1.000","370.1162E+00",""
"92","1.000","370.0798E+00",""
"93","1.000","370.0737E+00",""
"94","1.000","370.1392E+00",""
"95","1.000","370.0683E+00",""
"96","1.000","370.0503E+00",""
"97","1.000","370.0374E+00",""
"98","1.000","370.0918E+00",""
"99","1.000","370.0498E+00",""
"100","1.000","370.0664E+00",""
"101","1.000","370.0329E+00",""
"102","1.000","370.0196E+00",""
"103","1.000","370.0483E+00",""
"104","1.000","370.0387E+00",""
"105","1.000","370.0393E+00",""
"106","1.000","370.0458E+00",""
"107","1.000","370.0303E+00",""
"108","1.000","370.0556E+00",""
"109","1.000","370.0445E+00",""
"110","1.000","370.0064E+00",""
"111","1.000","370.0498E+00",""
"112","1.000","370.0218E+00",""
"113","1.000","370.0455E+00",""
"114","1.000","370.0292E+00",""
"115","1.000","370.0041E+00",""
"116","1.000","370.0121E+00",""
"117","1.000","370.0497E+00",""
"118","1.000","370.0431E+00",""
"119","1.000","370.0106E+00",""
"120","1.000","370.0513E+00",""
"121","1.000","370.0241E+00",""
"122","1.000","370.0106E+00",""
"123","1.000","370.0192E+00",""
"124","1.000","370.0133E+00",""
"125","1.000","369.9572E+00",""
"126","1.000","369.9180E+00",""
"127","1.000","369.8935E+00",""
"128","1.000","369.8623E+00",""
"129","1.000","369.8129E+00",""
"130","1.000","369.8468E+00",""
"131","1.000","369.8111E+00",""
"132","1.000","369.7472E+00",""
"133","1.000","369.7468E+00",""
"134","1.000","369.7221E+00",""
"135","1.000","369.6912E+00",""
"136","1.000","369.6919E+00",""
"137","1.000","369.7101E+00",""
"138","1.000","369.7052E+00",""
"139","1.000","369.6620E+00",""
"140","1.000","369.5705E+00",""
"141","1.000","369.3046E+00",""
"142","1.000","369.5576E+00",""
"143","1.000","369.3598E+00",""
"144","1.000","369.3051E+00",""
"145","1.000","369.2422E+00",""
"146","1.000","369.1827E+00",""
"147","1.000","369.0014E+00",""
"148","1.000","368.8891E+00",""
"149","1.000","368.7808E+00",""
"150","1.000","368.7351E+00",""
"151","1.000","368.5558E+00",""
"152","1.000","368.5516E+00",""
"153","1.000","368.4827E+00",""
"154","1.000","368.4753E+00",""
"155","1.000","368.4241E+00",""
"156","1.000","368.4416E+00",""
"157","1.000","368.4932E+00",""
"158","1.000","368.4658E+00",""
"159","1.000","368.4193E+00",""
"160","1.000","368.3659E+00",""
"161","1.000","368.3920E+00",""
"162","1.000","368.3123E+00",""
"163","1.000","368.2886E+00",""
"164","1.000","368.3189E+00",""
"165","1.000","368.2861E+00",""
"166","1.000","368.2490E+00",""
"167","1.000","368.2231E+00",""
"168","1.000","368.2259E+00",""
"169","1.000","368.1685E+00",""
"170","1.000","368.2759E+00",""
"171","1.000","368.2978E+00",""
"172","1.000","368.2832E+00",""
"173","1.000","368.2179E+00",""
"174","1.000","368.2515E+00",""
"175","1.000","368.2108E+00",""
"176","1.000","368.2743E+00",""
"177","1.000","368.2503E+00",""
"178","1.000","368.2408E+00",""
"179","1.000","368.2067E+00",""
"180","1.000","368.1238E+00",""
"181","1.000","368.0647E+00",""
"182","1.000","368.1211E+00",""
"183","1.000","368.1282E+00",""
"184","1.000","368.1380E+00",""
"185","1.000","368.1194E+00",""
"186","1.000","368.0483E+00",""
"187","1.000","368.0338E+00",""
"188","1.000","368.0345E+00",""
"189","1.000","368.0762E+00",""
"190","1.000","368.0383E+00",""
"191","1.000","367.9966E+00",""
"192","1.000","368.0493E+00",""
"193","1.000","368.0633E+00",""
"194","1.000","368.0212E+00",""
"195","1.000","368.0013E+00",""
"196","1.000","368.0088E+00",""
"197","1.000","367.9631E+00",""
"198","1.000","367.9271E+00",""
"199","1.000","367.9105E+00",""
"200","1.000","367.8664E+00",""
"201","1.000","367.8688E+00",""
"202","1.000","367.8784E+00",""
"203","1.000","367.8600E+00",""
"204","1.000","367.8217E+00",""
"205","1.000","367.7693E+00",""
"206","1.000","367.7812E+00",""
"207","1.000","367.8469E+00",""
"208","1.000","367.7831E+00",""
"209","1.000","367.7635E+00",""
"210","1.000","367.8366E+00",""
"211","1.000","367.8060E+00",""
"212","1.000","367.8285E+00",""
"213","1.000","367.8473E+00",""
"214","1.000","367.8514E+00",""
"215","1.000","367.8114E+00",""
"216","1.000","367.8254E+00",""
"217","1.000","367.7670E+00",""
"218","1.000","367.7303E+00",""
"219","1.000","367.6862E+00",""
"220","1.000","367.6804E+00",""
"221","1.000","367.6713E+00",""
"222","1.000","367.6629E+00",""
"223","1.000","367.6716E+00",""
"224","1.000","367.6486E+00",""
"225","1.000","367.6839E+00",""
"226","1.000","367.6834E+00",""
"227","1.000","367.6806E+00",""
"228","1.000","367.6703E+00",""
"229","1.000","367.6629E+00",""
"230","1.000","367.6545E+00",""
"231","1.000","367.6375E+00",""
"232","1.000","367.6158E+00",""
"233","1.000","367.6428E+00",""
"234","1.000","367.6421E+00",""
"235","1.000","367.6345E+00",""
"236","1.000","367.6427E+00",""
"237","1.000","367.6249E+00",""
"238","1.000","367.6838E+00",""
"239","1.000","367.6325E+00",""
"240","1.000","367.6558E+00",""
"241","1.000","367.6273E+00",""

