"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","360.8517E+00",""
"2","1.000","360.9268E+00",""
"3","1.000","360.9685E+00",""
"4","1.000","361.0437E+00",""
"5","1.000","361.0731E+00",""
"6","1.000","361.1170E+00",""
"7","1.000","361.1567E+00",""
"8","1.000","361.2064E+00",""
"9","1.000","361.1484E+00",""
"10","1.000","361.1924E+00",""
"11","1.000","361.1859E+00",""
"12","1.000","361.2007E+00",""
"13","1.000","361.2357E+00",""
"14","1.000","361.2681E+00",""
"15","1.000","361.2936E+00",""
"16","1.000","361.2769E+00",""
"17","1.000","361.2931E+00",""
"18","1.000","361.2639E+00",""
"19","1.000","361.2542E+00",""
"20","1.000","361.2756E+00",""
"21","1.000","361.2506E+00",""
"22","1.000","361.2101E+00",""
"23","1.000","361.2260E+00",""
"24","1.000","361.2058E+00",""
"25","1.000","361.1643E+00",""
"26","1.000","361.1739E+00",""
"27","1.000","361.1757E+00",""
"28","1.000","361.1676E+00",""
"29","1.000","361.1294E+00",""
"30","1.000","361.1051E+00",""
"31","1.000","361.0923E+00",""
"32","1.000","361.0272E+00",""
"33","1.000","361.0638E+00",""
"34","1.000","360.9977E+00",""
"35","1.000","360.9983E+00",""
"36","1.000","360.9617E+00",""
"37","1.000","360.9634E+00",""
"38","1.000","360.9176E+00",""
"39","1.000","360.8664E+00",""
"40","1.000","360.8685E+00",""
"41","1.000","360.8507E+00",""
"42","1.000","360.8070E+00",""
"43","1.000","360.8157E+00",""
"44","1.000","360.7798E+00",""
"45","1.000","360.7592E+00",""
"46","1.000","360.7708E+00",""
"47","1.000","360.7743E+00",""
"48","1.000","360.7701E+00",""
"49","1.000","360.7739E+00",""
"50","1.000","360.7581E+00",""
"51","1.000","360.7385E+00",""
"52","1.000","360.7135E+00",""
"53","1.000","360.7298E+00",""
"54","1.000","360.7367E+00",""
"55","1.000","360.6989E+00",""
"56","1.000","360.7255E+00",""
"57","1.000","360.7001E+00",""
"58","1.000","360.7194E+00",""
"59","1.000","360.7177E+00",""
"60","1.000","360.6819E+00",""
"61","1.000","360.6785E+00",""
"62","1.000","360.6600E+00",""
"63","1.000","360.5980E+00",""
"64","1.000","360.6237E+00",""
"65","1.000","360.6282E+00",""
"66","1.000","360.6121E+00",""
"67","1.000","360.6019E+00",""
"68","1.000","360.5557E+00",""
"69","1.000","360.5687E+00",""
"70","1.000","360.5635E+00",""
"71","1.000","360.6146E+00",""
"72","1.000","360.5663E+00",""
"73","1.000","360.5691E+00",""
"74","1.000","360.5784E+00",""
"75","1.000","360.5549E+00",""
"76","1.000","360.5243E+00",""
"77","1.000","360.5556E+00",""
"78","1.000","360.5514E+00",""
"79","1.000","360.5511E+00",""
"80","1.000","360.5761E+00",""
"81","1.000","360.5994E+00",""
"82","1.000","360.5716E+00",""
"83","1.000","360.5517E+00",""
"84","1.000","360.5439E+00",""
"85","1.000","360.5089E+00",""
"86","1.000","360.4499E+00",""
"87","1.000","360.4055E+00",""
"88","1.000","360.3936E+00",""
"89","1.000","360.3918E+00",""
"90","1.000","360.3879E+00",""
"91","1.000","360.3760E+00",""
"92","1.000","360.3996E+00",""
"93","1.000","360.3930E+00",""
"94","1.000","360.3635E+00",""
"95","1.000","360.3503E+00",""
"96","1.000","360.3217E+00",""
"97","1.000","360.3380E+00",""
"98","1.000","360.2788E+00",""
"99","1.000","360.2468E+00",""
"100","1.000","360.2607E+00",""
"101","1.000","360.2000E+00",""
"102","1.000","360.2341E+00",""
"103","1.000","360.2354E+00",""
"104","1.000","360.2148E+00",""
"105","1.000","360.1671E+00",""
"106","1.000","360.1610E+00",""
"107","1.000","360.1563E+00",""
"108","1.000","360.1130E+00",""
"109","1.000","360.0892E+00",""
"110","1.000","360.1045E+00",""
"111","1.000","360.1238E+00",""
"112","1.000","360.1215E+00",""
"113","1.000","360.0752E+00",""
"114","1.000","360.0654E+00",""
"115","1.000","360.0459E+00",""
"116","1.000","360.0630E+00",""
"117","1.000","360.0244E+00",""
"118","1.000","360.0196E+00",""
"119","1.000","359.9889E+00",""
"120","1.000","359.9742E+00",""
"121","1.000","359.9376E+00",""
"122","1.000","359.9370E+00",""
"123","1.000","359.9355E+00",""
"124","1.000","359.8710E+00",""
"125","1.000","359.9291E+00",""
"126","1.000","359.9119E+00",""
"127","1.000","359.8747E+00",""
"128","1.000","359.8753E+00",""
"129","1.000","359.8662E+00",""
