"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","340.9632E+00",""
"2","1.000","341.1921E+00",""
"3","1.000","341.2624E+00",""
"4","1.000","341.3644E+00",""
"5","1.000","341.5315E+00",""
"6","1.000","341.5883E+00",""
"7","1.000","341.6769E+00",""
"8","1.000","341.6961E+00",""
"9","1.000","341.7531E+00",""
"10","1.000","341.8085E+00",""
"11","1.000","341.8599E+00",""
"12","1.000","341.8951E+00",""
"13","1.000","341.9128E+00",""
"14","1.000","341.9287E+00",""
"15","1.000","341.9723E+00",""
"16","1.000","341.9739E+00",""
"17","1.000","342.0484E+00",""
"18","1.000","342.0848E+00",""
"19","1.000","342.0643E+00",""
"20","1.000","342.0971E+00",""
"21","1.000","342.1773E+00",""
"22","1.000","342.1350E+00",""
"23","1.000","342.2211E+00",""
"24","1.000","342.2130E+00",""
"25","1.000","342.2340E+00",""
"26","1.000","342.1743E+00",""
"27","1.000","342.2211E+00",""
"28","1.000","342.2255E+00",""
"29","1.000","342.2099E+00",""
"30","1.000","342.1881E+00",""
"31","1.000","342.1827E+00",""
"32","1.000","342.2231E+00",""
"33","1.000","342.1981E+00",""
"34","1.000","342.2206E+00",""
"35","1.000","342.2639E+00",""
"36","1.000","342.2966E+00",""
"37","1.000","342.2425E+00",""
"38","1.000","342.2741E+00",""
"39","1.000","342.2180E+00",""
"40","1.000","342.1907E+00",""
"41","1.000","342.2379E+00",""
"42","1.000","342.2675E+00",""
"43","1.000","342.2940E+00",""
"44","1.000","342.2545E+00",""
"45","1.000","342.1761E+00",""
"46","1.000","342.1693E+00",""
"47","1.000","342.1775E+00",""
"48","1.000","342.2754E+00",""
"49","1.000","342.2342E+00",""
"50","1.000","342.2282E+00",""
"51","1.000","342.2317E+00",""
"52","1.000","342.2288E+00",""
"53","1.000","342.2238E+00",""
"54","1.000","342.2530E+00",""
"55","1.000","342.2993E+00",""
"56","1.000","342.2332E+00",""
"57","1.000","342.2554E+00",""
"58","1.000","342.2999E+00",""
"59","1.000","342.2858E+00",""
"60","1.000","342.3071E+00",""
"61","1.000","342.3405E+00",""
"62","1.000","342.2685E+00",""
"63","1.000","342.2871E+00",""
"64","1.000","342.3194E+00",""
"65","1.000","342.3058E+00",""
"66","1.000","342.3340E+00",""
"67","1.000","342.3736E+00",""
"68","1.000","342.3566E+00",""
"69","1.000","342.3533E+00",""
"70","1.000","342.2902E+00",""
"71","1.000","342.2985E+00",""
"72","1.000","342.3337E+00",""
"73","1.000","342.2445E+00",""
"74","1.000","342.2792E+00",""
"75","1.000","342.2555E+00",""
"76","1.000","342.2872E+00",""
"77","1.000","342.2768E+00",""
"78","1.000","342.2858E+00",""
"79","1.000","342.2601E+00",""
"80","1.000","342.2391E+00",""
"81","1.000","342.2528E+00",""
"82","1.000","342.2478E+00",""
"83","1.000","342.3069E+00",""
"84","1.000","342.2991E+00",""
"85","1.000","342.3042E+00",""
"86","1.000","342.2879E+00",""
"87","1.000","342.3120E+00",""
"88","1.000","342.3293E+00",""
