"No.","CV[V]","Z[ohm]","OFF"
"187","1.000","321.2609E+00",""
"188","1.000","321.2478E+00",""
"189","1.000","321.2862E+00",""
"190","1.000","321.2722E+00",""
"191","1.000","321.2605E+00",""
"192","1.000","321.2553E+00",""
"193","1.000","321.1895E+00",""
"194","1.000","321.1936E+00",""
"195","1.000","321.1942E+00",""
"196","1.000","321.1936E+00",""
"197","1.000","321.2108E+00",""
"198","1.000","321.2784E+00",""
"199","1.000","321.2560E+00",""
"200","1.000","321.2269E+00",""
"201","1.000","321.2357E+00",""
"202","1.000","321.2541E+00",""
"203","1.000","321.2550E+00",""
"204","1.000","321.2508E+00",""
"205","1.000","321.2228E+00",""
"206","1.000","321.2670E+00",""
"207","1.000","321.2338E+00",""
"208","1.000","321.2180E+00",""
"209","1.000","321.2037E+00",""
"210","1.000","321.1946E+00",""
"211","1.000","321.2209E+00",""
"212","1.000","321.2468E+00",""
"213","1.000","321.2090E+00",""
"214","1.000","321.1907E+00",""
"215","1.000","321.2087E+00",""
"216","1.000","321.2260E+00",""
"217","1.000","321.1941E+00",""
"218","1.000","321.1954E+00",""
"219","1.000","321.1704E+00",""
"220","1.000","321.2209E+00",""
"221","1.000","321.2259E+00",""
"222","1.000","321.2032E+00",""
"223","1.000","321.2149E+00",""
"224","1.000","321.1806E+00",""
"225","1.000","321.2061E+00",""
"226","1.000","321.1928E+00",""
"227","1.000","321.1848E+00",""
"228","1.000","321.1382E+00",""
"229","1.000","321.1305E+00",""
"230","1.000","321.1757E+00",""
"231","1.000","321.2247E+00",""
"232","1.000","321.2144E+00",""
"233","1.000","321.2033E+00",""
"234","1.000","321.1979E+00",""
"235","1.000","321.1743E+00",""
"236","1.000","321.2022E+00",""
"237","1.000","321.2028E+00",""
"238","1.000","321.1748E+00",""
"239","1.000","321.1667E+00",""
"240","1.000","321.1738E+00",""
"241","1.000","321.1882E+00",""

