"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","346.3946E+00",""
"2","1.000","346.4678E+00",""
"3","1.000","346.4778E+00",""
"4","1.000","346.3543E+00",""
"5","1.000","346.2735E+00",""
"6","1.000","346.3038E+00",""
"7","1.000","346.2980E+00",""
"8","1.000","346.2439E+00",""
"9","1.000","346.2326E+00",""
"10","1.000","346.1331E+00",""
"11","1.000","346.0928E+00",""
"12","1.000","346.1429E+00",""
"13","1.000","346.1223E+00",""
"14","1.000","346.0155E+00",""
"15","1.000","345.9809E+00",""
"16","1.000","346.0758E+00",""
"17","1.000","346.0690E+00",""
"18","1.000","346.0529E+00",""
"19","1.000","346.0434E+00",""
"20","1.000","345.9875E+00",""
"21","1.000","346.0595E+00",""
"22","1.000","346.0299E+00",""
"23","1.000","346.0349E+00",""
"24","1.000","345.9852E+00",""
"25","1.000","345.9405E+00",""
"26","1.000","345.9541E+00",""
"27","1.000","345.8510E+00",""
"28","1.000","345.8436E+00",""
"29","1.000","345.8356E+00",""
"30","1.000","345.8443E+00",""
"31","1.000","345.8059E+00",""
"32","1.000","345.8806E+00",""
"33","1.000","345.8259E+00",""
"34","1.000","345.8253E+00",""
"35","1.000","345.8093E+00",""
"36","1.000","345.8373E+00",""
"37","1.000","345.8916E+00",""
"38","1.000","345.8062E+00",""
"39","1.000","345.7848E+00",""
"40","1.000","345.8078E+00",""
"41","1.000","345.7963E+00",""
"42","1.000","345.7565E+00",""
"43","1.000","345.5983E+00",""
"44","1.000","345.6142E+00",""
"45","1.000","345.6175E+00",""
"46","1.000","345.5477E+00",""
"47","1.000","345.5379E+00",""
"48","1.000","345.5919E+00",""
"49","1.000","345.5821E+00",""
"50","1.000","345.5793E+00",""
"51","1.000","345.5916E+00",""
"52","1.000","345.6011E+00",""
"53","1.000","345.5190E+00",""
"54","1.000","345.4395E+00",""
"55","1.000","345.3998E+00",""
"56","1.000","345.3454E+00",""
"57","1.000","345.3422E+00",""
"58","1.000","345.3395E+00",""
"59","1.000","345.2750E+00",""
"60","1.000","345.2467E+00",""
"61","1.000","345.2618E+00",""
"62","1.000","345.2631E+00",""
"63","1.000","345.1983E+00",""
"64","1.000","345.1159E+00",""
"65","1.000","345.1462E+00",""
"66","1.000","345.0002E+00",""
"67","1.000","344.9460E+00",""
"68","1.000","344.8484E+00",""
"69","1.000","344.8415E+00",""
"70","1.000","344.7065E+00",""
"71","1.000","344.6599E+00",""
"72","1.000","344.7218E+00",""
"73","1.000","344.5863E+00",""
"74","1.000","344.7220E+00",""
"75","1.000","344.7483E+00",""
"76","1.000","344.6845E+00",""
"77","1.000","344.6246E+00",""
"78","1.000","344.6958E+00",""
"79","1.000","344.5662E+00",""
"80","1.000","344.5911E+00",""
"81","1.000","344.5062E+00",""
"82","1.000","344.4468E+00",""
"83","1.000","344.4630E+00",""
"84","1.000","344.3354E+00",""
"85","1.000","344.3221E+00",""
"86","1.000","344.4668E+00",""
"87","1.000","344.3412E+00",""
"88","1.000","344.3439E+00",""
"89","1.000","344.2322E+00",""
"90","1.000","344.2934E+00",""
"91","1.000","344.2263E+00",""
"92","1.000","344.1990E+00",""
"93","1.000","344.1308E+00",""
"94","1.000","344.0806E+00",""
"95","1.000","344.1239E+00",""
"96","1.000","344.1629E+00",""
"97","1.000","344.1508E+00",""
"98","1.000","343.9953E+00",""
"99","1.000","344.0851E+00",""
"100","1.000","344.1038E+00",""
"101","1.000","343.9974E+00",""
"102","1.000","344.0186E+00",""
"103","1.000","343.9848E+00",""
"104","1.000","343.9802E+00",""
"105","1.000","344.0526E+00",""
"106","1.000","344.0817E+00",""
"107","1.000","344.0839E+00",""
"108","1.000","343.9735E+00",""
"109","1.000","343.9995E+00",""
"110","1.000","343.9876E+00",""
"111","1.000","344.0059E+00",""
"112","1.000","343.9954E+00",""
"113","1.000","344.0541E+00",""
"114","1.000","344.1917E+00",""
"115","1.000","344.1646E+00",""
"116","1.000","344.1783E+00",""
"117","1.000","344.1949E+00",""
"118","1.000","344.1906E+00",""
"119","1.000","344.0701E+00",""
"120","1.000","344.0635E+00",""
"121","1.000","344.0728E+00",""
"122","1.000","344.0507E+00",""
"123","1.000","343.9708E+00",""
"124","1.000","343.9689E+00",""
"125","1.000","343.9390E+00",""
"126","1.000","343.8756E+00",""
"127","1.000","343.8912E+00",""
"128","1.000","343.8822E+00",""
"129","1.000","343.9055E+00",""
"130","1.000","343.8952E+00",""
"131","1.000","343.8447E+00",""
"132","1.000","343.7907E+00",""
"133","1.000","343.8094E+00",""
"134","1.000","343.8212E+00",""
"135","1.000","343.8295E+00",""
"136","1.000","343.7837E+00",""
"137","1.000","343.7218E+00",""
"138","1.000","343.7746E+00",""
"139","1.000","343.7486E+00",""
"140","1.000","343.7312E+00",""
"141","1.000","343.6494E+00",""
"142","1.000","343.6209E+00",""
"143","1.000","343.6096E+00",""
"144","1.000","343.5230E+00",""
"145","1.000","343.6094E+00",""
"146","1.000","343.5908E+00",""
"147","1.000","343.6104E+00",""
"148","1.000","343.5669E+00",""
"149","1.000","343.5050E+00",""
"150","1.000","343.6206E+00",""
"151","1.000","343.5664E+00",""
"152","1.000","343.5227E+00",""
"153","1.000","343.5818E+00",""
"154","1.000","343.5042E+00",""
"155","1.000","343.5362E+00",""
"156","1.000","343.5210E+00",""
"157","1.000","343.5095E+00",""
"158","1.000","343.4063E+00",""
"159","1.000","343.3771E+00",""
"160","1.000","343.3214E+00",""
"161","1.000","343.2752E+00",""
"162","1.000","343.3586E+00",""
"163","1.000","343.2837E+00",""
"164","1.000","343.2821E+00",""
"165","1.000","343.2101E+00",""
"166","1.000","343.2362E+00",""
"167","1.000","343.2435E+00",""
"168","1.000","343.2689E+00",""
"169","1.000","343.3042E+00",""
"170","1.000","343.4084E+00",""
"171","1.000","343.3661E+00",""
"172","1.000","343.3012E+00",""
"173","1.000","343.4369E+00",""
"174","1.000","343.3283E+00",""
"175","1.000","343.4365E+00",""
"176","1.000","343.3844E+00",""
"177","1.000","343.4094E+00",""
"178","1.000","343.3416E+00",""
"179","1.000","343.3520E+00",""
"180","1.000","343.2879E+00",""
"181","1.000","343.3501E+00",""
"182","1.000","343.2730E+00",""
"183","1.000","343.2996E+00",""
"184","1.000","343.2301E+00",""
"185","1.000","343.1980E+00",""
"186","1.000","343.2186E+00",""
"187","1.000","343.1569E+00",""
"188","1.000","343.1694E+00",""
"189","1.000","343.1653E+00",""
"190","1.000","343.1797E+00",""
"191","1.000","343.1505E+00",""
"192","1.000","343.0767E+00",""
"193","1.000","343.0505E+00",""
"194","1.000","343.1558E+00",""
"195","1.000","343.0766E+00",""
"196","1.000","343.0867E+00",""
"197","1.000","342.9955E+00",""
"198","1.000","343.0246E+00",""
"199","1.000","342.9891E+00",""
"200","1.000","342.9838E+00",""
"201","1.000","342.9713E+00",""
"202","1.000","342.9890E+00",""
"203","1.000","342.9487E+00",""
"204","1.000","343.0015E+00",""
"205","1.000","342.9288E+00",""
"206","1.000","342.8590E+00",""
"207","1.000","342.8383E+00",""
"208","1.000","342.9040E+00",""
"209","1.000","342.9106E+00",""
"210","1.000","342.9472E+00",""
"211","1.000","342.9111E+00",""
"212","1.000","342.9720E+00",""
"213","1.000","342.9718E+00",""
"214","1.000","342.9714E+00",""
"215","1.000","342.9936E+00",""
"216","1.000","342.9533E+00",""
"217","1.000","343.0111E+00",""
"218","1.000","342.9869E+00",""
"219","1.000","343.0331E+00",""
"220","1.000","342.9586E+00",""
"221","1.000","342.9382E+00",""
"222","1.000","342.9538E+00",""
"223","1.000","342.8341E+00",""
"224","1.000","342.9101E+00",""
"225","1.000","342.9699E+00",""
"226","1.000","342.9077E+00",""
"227","1.000","342.9254E+00",""
"228","1.000","342.9527E+00",""
"229","1.000","342.9609E+00",""
"230","1.000","342.8586E+00",""
"231","1.000","342.8839E+00",""
"232","1.000","342.9036E+00",""
"233","1.000","342.8869E+00",""
"234","1.000","342.8809E+00",""
"235","1.000","342.8930E+00",""
"236","1.000","342.8622E+00",""
"237","1.000","342.8296E+00",""
"238","1.000","342.8127E+00",""
"239","1.000","342.8200E+00",""
"240","1.000","342.8464E+00",""
"241","1.000","342.8768E+00",""

