"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","351.6308E+00",""
"2","1.000","351.6371E+00",""
"3","1.000","351.5573E+00",""
"4","1.000","351.5743E+00",""
"5","1.000","351.5337E+00",""
"6","1.000","351.5333E+00",""
"7","1.000","351.5416E+00",""
"8","1.000","351.5459E+00",""
"9","1.000","351.5762E+00",""
"10","1.000","351.5197E+00",""
"11","1.000","351.5721E+00",""
"12","1.000","351.4980E+00",""
"13","1.000","351.5574E+00",""
"14","1.000","351.4922E+00",""
"15","1.000","351.5022E+00",""
"16","1.000","351.5491E+00",""
"17","1.000","351.4800E+00",""
"18","1.000","351.4285E+00",""
"19","1.000","351.4099E+00",""
"20","1.000","351.3974E+00",""
"21","1.000","351.3478E+00",""
"22","1.000","351.4142E+00",""
"23","1.000","351.4046E+00",""
"24","1.000","351.4222E+00",""
"25","1.000","351.4376E+00",""
"26","1.000","351.3832E+00",""
"27","1.000","351.4268E+00",""
"28","1.000","351.4390E+00",""
"29","1.000","351.3758E+00",""
"30","1.000","351.4880E+00",""
"31","1.000","351.3937E+00",""
"32","1.000","351.3569E+00",""
"33","1.000","351.3258E+00",""
"34","1.000","351.2954E+00",""
"35","1.000","351.3392E+00",""
"36","1.000","351.3159E+00",""
"37","1.000","351.3066E+00",""
"38","1.000","351.3189E+00",""
"39","1.000","351.3300E+00",""
"40","1.000","351.3134E+00",""
"41","1.000","351.2964E+00",""
"42","1.000","351.2957E+00",""
"43","1.000","351.2906E+00",""
"44","1.000","351.3613E+00",""
"45","1.000","351.3228E+00",""
"46","1.000","351.1398E+00",""
"47","1.000","351.3216E+00",""
"48","1.000","351.3026E+00",""
"49","1.000","351.2835E+00",""
"50","1.000","351.2507E+00",""
"51","1.000","351.2734E+00",""
"52","1.000","351.2494E+00",""
"53","1.000","351.2708E+00",""
"54","1.000","351.2045E+00",""
"55","1.000","351.2452E+00",""
"56","1.000","351.1908E+00",""
"57","1.000","351.1974E+00",""
"58","1.000","351.1811E+00",""
"59","1.000","351.1850E+00",""
"60","1.000","351.1766E+00",""
"61","1.000","351.1428E+00",""
"62","1.000","351.1859E+00",""
"63","1.000","351.1358E+00",""
"64","1.000","351.1638E+00",""
"65","1.000","351.1731E+00",""
"66","1.000","351.1175E+00",""
"67","1.000","351.0989E+00",""
"68","1.000","351.1084E+00",""
"69","1.000","351.1478E+00",""
"70","1.000","351.0708E+00",""
"71","1.000","351.0603E+00",""
"72","1.000","351.0626E+00",""
"73","1.000","351.0070E+00",""
"74","1.000","351.0023E+00",""
"75","1.000","351.0571E+00",""
"76","1.000","350.9726E+00",""
"77","1.000","351.0314E+00",""
"78","1.000","351.0287E+00",""
"79","1.000","351.0343E+00",""
"80","1.000","351.0211E+00",""
"81","1.000","351.0857E+00",""
"82","1.000","351.0362E+00",""
"83","1.000","350.9825E+00",""
"84","1.000","350.9554E+00",""
"85","1.000","350.8948E+00",""
"86","1.000","350.9902E+00",""
"87","1.000","350.9586E+00",""
"88","1.000","350.9552E+00",""
"89","1.000","350.8836E+00",""
"90","1.000","350.9633E+00",""
"91","1.000","350.9419E+00",""
"92","1.000","350.8675E+00",""
"93","1.000","350.8744E+00",""
"94","1.000","350.8806E+00",""
"95","1.000","350.9188E+00",""
"96","1.000","350.8256E+00",""
"97","1.000","350.8994E+00",""
"98","1.000","350.9230E+00",""
"99","1.000","350.9505E+00",""
"100","1.000","350.9537E+00",""
"101","1.000","350.9744E+00",""
"102","1.000","350.9500E+00",""
"103","1.000","350.9135E+00",""
"104","1.000","350.8765E+00",""
"105","1.000","350.8960E+00",""
"106","1.000","350.7385E+00",""
"107","1.000","350.8870E+00",""
"108","1.000","350.8426E+00",""
"109","1.000","350.6437E+00",""
"110","1.000","350.7506E+00",""
"111","1.000","350.7393E+00",""
"112","1.000","350.7579E+00",""
"113","1.000","350.7549E+00",""
"114","1.000","350.7426E+00",""
"115","1.000","350.6675E+00",""
"116","1.000","350.7355E+00",""
"117","1.000","350.7594E+00",""
"118","1.000","350.7487E+00",""
"119","1.000","350.7073E+00",""
"120","1.000","350.6523E+00",""
"121","1.000","350.6713E+00",""
"122","1.000","350.7171E+00",""
"123","1.000","350.7214E+00",""
"124","1.000","350.6923E+00",""
"125","1.000","350.6426E+00",""
"126","1.000","350.7488E+00",""
"127","1.000","350.7130E+00",""
"128","1.000","350.6527E+00",""
"129","1.000","350.6083E+00",""
"130","1.000","350.6631E+00",""
"131","1.000","350.7038E+00",""
"132","1.000","350.7063E+00",""
"133","1.000","350.7935E+00",""
"134","1.000","350.6831E+00",""
"135","1.000","350.6922E+00",""
"136","1.000","350.6148E+00",""
"137","1.000","350.6844E+00",""
"138","1.000","350.6904E+00",""
"139","1.000","350.6483E+00",""
"140","1.000","350.6425E+00",""
"141","1.000","350.6520E+00",""
"142","1.000","350.5229E+00",""
"143","1.000","350.5630E+00",""
"144","1.000","350.5508E+00",""
"145","1.000","350.6075E+00",""
"146","1.000","350.5918E+00",""
"147","1.000","350.5797E+00",""
"148","1.000","350.6528E+00",""
"149","1.000","350.5859E+00",""
"150","1.000","350.5686E+00",""
"151","1.000","350.5383E+00",""
"152","1.000","350.4830E+00",""
"153","1.000","350.5540E+00",""
"154","1.000","350.4335E+00",""
"155","1.000","350.4985E+00",""
"156","1.000","350.5059E+00",""
"157","1.000","350.4111E+00",""
"158","1.000","350.3148E+00",""
"159","1.000","350.2191E+00",""
"160","1.000","350.3258E+00",""
"161","1.000","350.2935E+00",""
"162","1.000","350.2761E+00",""
"163","1.000","350.2871E+00",""
"164","1.000","350.2905E+00",""
"165","1.000","350.3470E+00",""
"166","1.000","350.2515E+00",""
"167","1.000","350.2832E+00",""
"168","1.000","350.2615E+00",""
"169","1.000","350.3055E+00",""
"170","1.000","350.3011E+00",""
"171","1.000","350.2764E+00",""
"172","1.000","350.2506E+00",""
"173","1.000","350.2583E+00",""
"174","1.000","350.3249E+00",""
"175","1.000","350.3183E+00",""
"176","1.000","350.3409E+00",""
"177","1.000","350.3547E+00",""
"178","1.000","350.3550E+00",""
"179","1.000","350.2932E+00",""
"180","1.000","350.3009E+00",""
"181","1.000","350.2469E+00",""
"182","1.000","350.2392E+00",""
"183","1.000","350.2450E+00",""
"184","1.000","350.2562E+00",""
"185","1.000","350.2518E+00",""
"186","1.000","350.1881E+00",""
"187","1.000","350.2010E+00",""
"188","1.000","350.1245E+00",""
"189","1.000","350.1392E+00",""
"190","1.000","350.1512E+00",""
"191","1.000","350.1208E+00",""
"192","1.000","350.1760E+00",""
"193","1.000","350.1236E+00",""
"194","1.000","350.1022E+00",""
"195","1.000","350.1108E+00",""
"196","1.000","350.0887E+00",""
"197","1.000","350.0532E+00",""
"198","1.000","350.1031E+00",""
"199","1.000","350.1244E+00",""
"200","1.000","350.1043E+00",""
"201","1.000","350.0842E+00",""
"202","1.000","350.0615E+00",""
"203","1.000","350.0039E+00",""
"204","1.000","350.0003E+00",""
"205","1.000","350.0503E+00",""
"206","1.000","350.0675E+00",""
"207","1.000","349.9892E+00",""
"208","1.000","350.0016E+00",""
"209","1.000","350.0280E+00",""
"210","1.000","349.9866E+00",""
"211","1.000","349.9903E+00",""
"212","1.000","349.9503E+00",""
"213","1.000","349.9720E+00",""
"214","1.000","349.9666E+00",""
"215","1.000","349.9644E+00",""
"216","1.000","349.9289E+00",""
"217","1.000","349.9518E+00",""
"218","1.000","349.9358E+00",""
"219","1.000","349.9720E+00",""
"220","1.000","349.9611E+00",""
"221","1.000","349.9333E+00",""
"222","1.000","349.9325E+00",""
"223","1.000","349.9776E+00",""
"224","1.000","349.9994E+00",""
"225","1.000","349.9706E+00",""
"226","1.000","349.9684E+00",""
"227","1.000","349.9724E+00",""
"228","1.000","350.0122E+00",""
"229","1.000","349.9487E+00",""
"230","1.000","349.9225E+00",""
"231","1.000","349.8624E+00",""
"232","1.000","349.9389E+00",""
"233","1.000","349.8491E+00",""
"234","1.000","349.9620E+00",""
"235","1.000","349.9771E+00",""
"236","1.000","349.9443E+00",""
"237","1.000","349.9869E+00",""
"238","1.000","350.0185E+00",""
"239","1.000","350.0779E+00",""
"240","1.000","350.0494E+00",""
"241","1.000","350.0559E+00",""

