"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","330.2694E+00",""
"2","1.000","330.3011E+00",""
"3","1.000","329.8545E+00",""
"4","1.000","329.6963E+00",""
"5","1.000","329.6042E+00",""
"6","1.000","329.5633E+00",""
"7","1.000","329.5447E+00",""
"8","1.000","329.3708E+00",""
"9","1.000","329.2985E+00",""
"10","1.000","329.2469E+00",""
"11","1.000","329.2302E+00",""
"12","1.000","329.2509E+00",""
"13","1.000","329.1955E+00",""
"14","1.000","329.2195E+00",""
"15","1.000","329.2300E+00",""
"16","1.000","329.2251E+00",""
"17","1.000","329.1954E+00",""
"18","1.000","329.1567E+00",""
"19","1.000","329.1479E+00",""
"20","1.000","329.1600E+00",""
"21","1.000","329.1585E+00",""
"22","1.000","329.0942E+00",""
"23","1.000","329.0984E+00",""
"24","1.000","329.0719E+00",""
"25","1.000","329.0716E+00",""
"26","1.000","329.0419E+00",""
"27","1.000","329.0603E+00",""
"28","1.000","329.0884E+00",""
"29","1.000","329.0810E+00",""
"30","1.000","329.0489E+00",""
"31","1.000","329.0581E+00",""
"32","1.000","329.0283E+00",""
"33","1.000","329.0112E+00",""
"34","1.000","329.0157E+00",""
"35","1.000","329.0293E+00",""
"36","1.000","329.0354E+00",""
"37","1.000","329.0040E+00",""
"38","1.000","328.9546E+00",""
"39","1.000","328.9499E+00",""
"40","1.000","328.9904E+00",""
"41","1.000","329.0024E+00",""
"42","1.000","329.0127E+00",""
"43","1.000","328.9907E+00",""
"44","1.000","328.9555E+00",""
"45","1.000","328.9423E+00",""
"46","1.000","328.9400E+00",""
"47","1.000","328.9659E+00",""
"48","1.000","328.9806E+00",""
"49","1.000","328.9752E+00",""
"50","1.000","328.9663E+00",""
"51","1.000","328.9370E+00",""
"52","1.000","328.9372E+00",""
"53","1.000","328.9809E+00",""
"54","1.000","328.9297E+00",""
"55","1.000","328.9066E+00",""
"56","1.000","328.8999E+00",""
"57","1.000","328.8913E+00",""
"58","1.000","328.8862E+00",""
"59","1.000","328.8768E+00",""
"60","1.000","328.9018E+00",""
"61","1.000","328.9223E+00",""
"62","1.000","328.8822E+00",""
"63","1.000","328.9004E+00",""
"64","1.000","328.8792E+00",""
"65","1.000","328.8985E+00",""
"66","1.000","328.8601E+00",""
"67","1.000","328.8962E+00",""
"68","1.000","328.8872E+00",""
"69","1.000","328.8751E+00",""
"70","1.000","328.8733E+00",""
"71","1.000","328.8798E+00",""
"72","1.000","328.8699E+00",""
"73","1.000","328.8537E+00",""
"74","1.000","328.8820E+00",""
"75","1.000","328.8542E+00",""
"76","1.000","328.7782E+00",""
"77","1.000","328.8273E+00",""
"78","1.000","328.7943E+00",""
